Robyn Thorne 12 PAF4O1 MDM4U1 MAP4C1 MHF4U1 CLN4U1 HHS4C1 ICS4U1 TDJ4M1
Olaf Villanueva 10 ENG2P1 CHV2O1 SNC2P1 PAF2OF GLC2O1 PPL2OM TDJ2O1 FSF2D1 
Abigail Leal 12 SBI4U1 ENG4U1 CHY4U1 TFJ4C1 TGJ4M1 SPH4U1 PAF4O1 ADA4M1 
Dion Baker 12 TEJ4M1 TFJ4C1 CHY4U1 MHF4U1 TGJ4M1 HHS4C1 IDC4U1 PLF4M1 
Ansh Perry 9 SNC1D1 ENG1L1 MFM1P1 CGC1D1 FSF1O1 BTT1O1 PPL1OF TGJ1O1 
Fay Pham 11 ADA3M1 TDJ3M1 SCH3U1 THJ3M1 AWQ3M1 CHW3M1 SPH3U1 MBF3C1 
Leela Leach 11 BAF3M1 SBI3U1 TDJ3M1 ENG3U1 AWQ3M1 FSF3U1 THJ3M1 ADA3M1 
Xanthe Talley 12 SBI4U1 AWD4M1 TEJ4M1 SCH4U1 SPH4U1 HHS4C1 MDM4U1 PLF4M1 
Nuala Clark 12 HHS4U1 AWQ4M1 AWD4M1 TFJ4C1 TGJ4M1 null ICS4U1 TDJ4M1 
Haleema Lee 11 TEJ3M1 SBI3U1 SCH3U1 MCR3U1 ICS3U1 TGJ3M1 SPH3U1 MBF3C1 
Chenai Mathis 12 ENG4U1 MDM4U1 AWD4M1 CLN4U1 TGJ4M1 AWQ4M1 null ADA4M1 
Divine Levine 11 ADA3M1 TDJ3M1 TEJ3M1 HSP3U1 ICS3U1 CHW3M1 SPH3U1 TFJ3C1 
Duncan Ritter 10 MFM2D1 BBI2O1 CHC2D1 ADA2O1 GLC2O1 ENG2P1 TDJ2O1 FSF2D1 
Thiago Aguilar 12 BAT4M1 TFJ4C1 MAP4C1 SCH4U1 CLN4U1 CHY4U1 IDC4U1 TEJ4M1 
Fynn Joyner 9 NAC1O1 MFM1D1 ADA1O1 PPL1OM ENG1D1 BTT1O1 SNC1D1 TGJ1O1 
